year,institute_type,pool,opening_rank,closing_rank,institute_short,program_name,program_duration,degree_short,category
2018,IIT,Male,838,1841,IIT-Bombay,Computer Science and Engineering,4,B.Tech,GEN
2018,IIT,Male,408,1098,IIT-Bombay,Computer Science and Engineering,4,B.Tech,OBC-NCL
2018,IIT,Male,297,468,IIT-Bombay,Computer Science and Engineering,4,B.Tech,SC
2018,IIT,Male,79,145,IIT-Bombay,Computer Science and Engineering,4,B.Tech,ST
2018,IIT,Male,94,94,IIT-Bombay,Computer Science and Engineering,4,B.Tech,GEN
2018,IIT,Male,45,45,IIT-Bombay,Computer Science and Engineering,4,B.Tech,OBC-NCL
2018,IIT,Male,422,1479,IIT-Bombay,Chemical Engineering,4,B.Tech,GEN
2018,IIT,Male,447,974,IIT-Bombay,Chemical Engineering,4,B.Tech,OBC-NCL
2018,IIT,Male,257,572,IIT-Bombay,Chemical Engineering,4,B.Tech,SC
2018,IIT,Male,161,335,IIT-Bombay,Chemical Engineering,4,B.Tech,ST
2018,IIT,Male,51,75,IIT-Bombay,Chemical Engineering,4,B.Tech,GEN
2018,IIT,Male,40,40,IIT-Bombay,Chemical Engineering,4,B.Tech,OBC-NCL
2018,IIT,Male,300,3000,IIT-Bombay,Chemical Engineering,4,B.Tech,SC
2018,IIT,Male,3323,4880,IIT-Bombay,Computer Science and Engineering,4,B.Tech,GEN
2018,IIT,Male,1753,2596,IIT-Bombay,Computer Science and Engineering,4,B.Tech,OBC-NCL
2018,IIT,Male,261,1743,IIT-Bombay,Computer Science and Engineering,4,B.Tech,SC
2018,IIT,Male,661,697,IIT-Bombay,Computer Science and Engineering,4,B.Tech,ST
2018,IIT,Male,49,49,IIT-Bombay,Computer Science and Engineering,4,B.Tech,GEN
2018,IIT,Male,897,2251,IIT-Bombay,Civil Engineering,4,B.Tech,GEN
2018,IIT,Male,356,1007,IIT-Bombay,Civil Engineering,4,B.Tech,OBC-NCL
2018,IIT,Male,217,441,IIT-Bombay,Civil Engineering,4,B.Tech,SC
2018,IIT,Male,57,108,IIT-Bombay,Civil Engineering,4,B.Tech,ST
2018,IIT,Male,19,50,IIT-Bombay,Civil Engineering,4,B.Tech,GEN
2018,IIT,Male,21,21,IIT-Bombay,Civil Engineering,4,B.Tech,OBC-NCL
2018,IIT,Male,1,60,IIT-Bombay,Computer Science and Engineering,4,B.Tech,GEN
2018,IIT,Male,8,44,IIT-Bombay,Computer Science and Engineering,4,B.Tech,OBC-NCL
2018,IIT,Male,2,26,IIT-Bombay,Computer Science and Engineering,4,B.Tech,SC
2018,IIT,Male,1,15,IIT-Bombay,Computer Science and Engineering,4,B.Tech,ST
2018,IIT,Male,2,3,IIT-Bombay,Computer Science and Engineering,4,B.Tech,GEN
2018,IIT,Male,1,1,IIT-Bombay,Computer Science and Engineering,4,B.Tech,OBC-NCL
2018,IIT,Male,22,227,IIT-Bombay,Electrical Engineering,4,B.Tech,GEN
2018,IIT,Male,64,162,IIT-Bombay,Electrical Engineering,4,B.Tech,OBC-NCL
2018,IIT,Male,18,81,IIT-Bombay,Electrical Engineering,4,B.Tech,SC
2018,IIT,Male,20,45,IIT-Bombay,Electrical Engineering,4,B.Tech,ST
2018,IIT,Male,9,9,IIT-Bombay,Electrical Engineering,4,B.Tech,GEN
2018,IIT,Male,1,1,IIT-Bombay,Electrical Engineering,4,B.Tech,SC
2018,IIT,Male,249,583,IIT-Bombay,Computer Science and Engineering,4,B.Tech,GEN
2018,IIT,Male,223,404,IIT-Bombay,Computer Science and Engineering,4,B.Tech,OBC-NCL
2018,IIT,Male,140,226,IIT-Bombay,Computer Science and Engineering,4,B.Tech,SC
2018,IIT,Male,60,87,IIT-Bombay,Computer Science and Engineering,4,B.Tech,ST
2018,IIT,Male,24,24,IIT-Bombay,Computer Science and Engineering,4,B.Tech,GEN
2018,IIT,Male,228,514,IIT-Bombay,Electrical Engineering,4,B.Tech,GEN
2018,IIT,Male,175,328,IIT-Bombay,Electrical Engineering,4,B.Tech,OBC-NCL
2018,IIT,Male,132,184,IIT-Bombay,Electrical Engineering,4,B.Tech,SC
2018,IIT,Male,89,130,IIT-Bombay,Electrical Engineering,4,B.Tech,ST
2018,IIT,Male,2,2,IIT-Bombay,Electrical Engineering,4,B.Tech,OBC-NCL
2018,IIT,Male,1374,2250,IIT-Bombay,Computer Science and Engineering,4,B.Tech,GEN
2018,IIT,Male,890,1524,IIT-Bombay,Computer Science and Engineering,4,B.Tech,OBC-NCL
2018,IIT,Male,338,848,IIT-Bombay,Computer Science and Engineering,4,B.Tech,SC
2018,IIT,Male,607,706,IIT-Bombay,Computer Science and Engineering,4,B.Tech,ST
2018,IIT,Male,6,1041,IIT-Bombay,Computer Science and Engineering,4,B.Tech,GEN
2018,IIT,Male,283,796,IIT-Bombay,Computer Science and Engineering,4,B.Tech,OBC-NCL
2018,IIT,Male,360,763,IIT-Bombay,Computer Science and Engineering,4,B.Tech,SC
2018,IIT,Male,204,337,IIT-Bombay,Computer Science and Engineering,4,B.Tech,ST
2018,IIT,Male,43,43,IIT-Bombay,Computer Science and Engineering,4,B.Tech,GEN
2018,IIT,Male,1092,1843,IIT-Bombay,Computer Science and Engineering,4,B.Tech,GEN
2018,IIT,Male,477,928,IIT-Bombay,Computer Science and Engineering,4,B.Tech,OBC-NCL
2018,IIT,Male,801,812,IIT-Bombay,Computer Science and Engineering,4,B.Tech,SC
2018,IIT,Male,368,368,IIT-Bombay,Computer Science and Engineering,4,B.Tech,ST
2018,IIT,Male,50,50,IIT-Bombay,Computer Science and Engineering,4,B.Tech,OBC-NCL
2018,IIT,Male,26,777,IIT-Bombay,Mechanical Engineering,4,B.Tech,GEN
2018,IIT,Male,104,371,IIT-Bombay,Mechanical Engineering,4,B.Tech,OBC-NCL
2018,IIT,Male,33,164,IIT-Bombay,Mechanical Engineering,4,B.Tech,SC
2018,IIT,Male,29,117,IIT-Bombay,Mechanical Engineering,4,B.Tech,ST
2018,IIT,Male,13,13,IIT-Bombay,Mechanical Engineering,4,B.Tech,GEN
2018,IIT,Male,8,8,IIT-Bombay,Mechanical Engineering,4,B.Tech,OBC-NCL
2018,IIT,Male,803,901,IIT-Bombay,Information Technology,4,B.Tech,GEN
2018,IIT,Male,428,484,IIT-Bombay,Information Technology,4,B.Tech,OBC-NCL
2018,IIT,Male,189,284,IIT-Bombay,Information Technology,4,B.Tech,SC
2018,IIT,Male,56,133,IIT-Bombay,Information Technology,4,B.Tech,ST
2018,IIT,Male,1657,2971,IIT-Bombay,Computer Science and Engineering,4,B.Tech,GEN
2018,IIT,Male,1015,1647,IIT-Bombay,Computer Science and Engineering,4,B.Tech,OBC-NCL
2018,IIT,Male,602,929,IIT-Bombay,Computer Science and Engineering,4,B.Tech,SC
2018,IIT,Male,333,580,IIT-Bombay,Computer Science and Engineering,4,B.Tech,ST
2018,IIT,Male,104,104,IIT-Bombay,Computer Science and Engineering,4,B.Tech,GEN
2018,IIT,Male,3001,3450,IIT-Bombay,Information Technology,4,B.Tech,GEN
2018,IIT,Male,1560,1783,IIT-Bombay,Information Technology,4,B.Tech,OBC-NCL
2018,IIT,Male,766,959,IIT-Bombay,Information Technology,4,B.Tech,SC
2018,IIT,Male,384,384,IIT-Bombay,Information Technology,4,B.Tech,ST
2018,IIT,Male,60,60,IIT-Bombay,Information Technology,4,B.Tech,GEN
2018,IIT,Male,3113,3403,IIT-Bombay,Information Technology,4,B.Tech,GEN
2018,IIT,Male,1665,1885,IIT-Bombay,Information Technology,4,B.Tech,OBC-NCL
2018,IIT,Male,998,1126,IIT-Bombay,Information Technology,4,B.Tech,SC
